words
Bukan
Bukan saya
Ee bukan
Eee salah
Eee tidak
Engga
Enggak
Ga
Gak
Henteu
Invalid
Kaga
Kagak
Keliru
mohon maaf salah orang
Mboten
Mmm bukan
Mmm nggak
Mmm tidak
Mungkin orang lain
Mungkin tidak
Nah
Ngga
Nggak
No
Nop
maaf salah orang
Not
Oga
Ogah
Ogak
Ora
Orang lain itu
Ra
Salah
Salah sambung
maap salah orang
mohon maap salah orang
sorry salah orang
sorry salah sambung
salah
Tidak
Tidak benar
Tidak betul
Tidak saya
