Words
Aku sendiri
Benar
Benar itu saya
Benar sekali
Betul
Betul sekali
Dengan saya sendiri
Eee benar
Eee Iya
Ha a
He eh
He em
Hiya
Hmm benar
Hmmm iya
Ho oh
Injih
Iya
Iya oke
Iyah
Iye
Iyes
Iyo
Iyoi
Muhun
enggeh
iya betul
Nggih
Njih
Okay
Oke
Okeh
Okey
Saestu
Saya
Saya sendiri
Sepakat
Setuju
Tentu
Tepat
Tepat sekali
Tidak salah lagi
Tul
Valid
Ya
Ya benar
Ya saya
Yah
Yah betul
Yak
Yak benar
Yak tul
Yap
Yep
yep tul
Yes
Yoi
Yup
